date,scan_time,ticker,mode,score,pct_from_open,rvol,entry_price,return_1h_pct,max_gain_1h_pct,stop_hit_1h,return_2h_pct,max_gain_2h_pct,stop_hit_2h,return_4h_pct,max_gain_4h_pct,stop_hit_4h,return_eod_pct,max_gain_session_pct,level_price,level_touches,level_type,dist_pct,atr,stop_loss,return_1d_pct,max_gain_1d_pct,stop_hit_1d,return_3d_pct,max_gain_3d_pct,stop_hit_3d,return_5d_pct,max_gain_5d_pct,stop_hit_5d
2026-05-11,14:30 BST,AMZN,RESISTANCE_WARNING,6.27,,,272.68,,,,,,,,,,,,277.215,4.0,resistance,1.64,7.35,268.7486,-2.52,-1.84,True,-2.0,-0.7,True,-2.87,-0.7,True
2026-05-12,14:30 BST,AMZN,RESISTANCE_WARNING,4.05,,,268.99,,,,,,,,,,,,277.215,4.0,resistance,2.97,7.23,268.8671,0.42,0.64,True,-1.8,0.67,True,-3.59,0.67,True
2026-05-14,14:30 BST,AMZN,RESISTANCE_WARNING,4.74,,,270.13,,,,,,,,,,,,277.215,4.0,resistance,2.56,7.38,268.715,-2.22,-2.14,True,-3.99,-0.47,True,-0.62,-0.24,True
2026-05-28,14:30 BST,AMZN,RESISTANCE_WARNING,5.77,,,271.85,,,,,,,,,,,,277.215,4.0,resistance,1.94,6.28,269.8179,-0.45,1.07,True,-5.64,1.07,True,-6.64,1.07,True
2026-06-03,14:30 BST,ANIX,SUPPORT_BOUNCE,5.67,,,2.55,,,,,,,,,,,,2.5,4.0,support,2.0,0.13,2.3614,2.75,5.1,False,2.75,5.1,False,2.75,5.1,False
2026-04-20,14:30 BST,ANPDY,RESISTANCE_WARNING,7.54,,,269.9923,,,,,,,,,,,,272.3832,4.0,resistance,0.88,5.97,265.2249,-0.82,0.42,False,-2.45,0.42,True,-3.47,0.42,True
2026-04-29,14:30 BST,ANL,SUPPORT_BOUNCE,8.26,,,12.17,,,,,,,,,,,,12.1165,4.0,support,0.44,2.57,9.4809,17.26,23.25,False,23.01,30.9,False,17.26,30.9,False
2026-05-04,14:30 BST,ANL,SUPPORT_BOUNCE,4.64,,,15.5,,,,,,,,,,,,15.105,4.0,support,2.62,2.74,12.2608,-3.68,-1.1,False,-11.61,-0.97,False,-16.39,-0.97,False
2026-05-05,14:30 BST,ANL,RESISTANCE_WARNING,7.51,,,14.97,,,,,,,,,,,,15.105,4.0,resistance,0.89,2.55,12.4544,-4.68,2.54,False,-11.29,2.54,True,-12.16,2.54,True
2026-05-11,14:30 BST,ANL,SUPPORT_BOUNCE,6.13,,,13.28,,,,,,,,,,,,13.055,4.0,support,1.72,1.68,11.3192,-0.98,2.56,False,4.37,15.44,False,-12.58,15.44,True
2026-05-12,14:30 BST,ANL,RESISTANCE_WARNING,7.79,,,12.96,,,,,,,,,,,,13.055,4.0,resistance,0.73,1.66,11.3365,7.56,8.64,False,4.24,18.29,False,-17.44,18.29,True
2026-05-13,14:30 BST,ANL,SUPPORT_BOUNCE,7.79,,,13.15,,,,,,,,,,,,13.055,4.0,support,0.73,1.63,11.3694,5.4,16.58,False,-11.71,16.58,True,-13.61,16.58,True
2026-05-14,14:30 BST,ANL,RESISTANCE_WARNING,5.55,,,13.94,,,,,,,,,,,,14.235,4.0,resistance,2.07,1.59,12.4944,-3.08,3.66,False,-23.24,3.66,True,-17.07,3.66,True
2026-05-15,14:30 BST,ANL,SUPPORT_BOUNCE,6.0,,,13.86,,,,,,,,,,,,13.615,4.0,support,1.8,1.65,11.8858,-16.23,1.37,True,-18.04,1.37,True,-14.0,1.37,True
2026-05-18,14:30 BST,ANL,RESISTANCE_WARNING,8.23,,,13.51,,,,,,,,,,,,13.5725,4.0,resistance,0.46,1.56,11.9394,-20.8,-12.32,True,-14.43,-9.33,True,-15.99,-6.04,True
2026-05-22,14:30 BST,ANL,SUPPORT_BOUNCE,5.32,,,11.56,,,,,,,,,,,,11.31,4.0,support,2.21,1.38,9.9251,-1.82,9.81,False,-2.25,9.81,False,4.07,13.19,False
2026-05-27,14:30 BST,ANL,SUPPORT_BOUNCE,8.41,,,11.35,,,,,,,,,,,,11.31,4.0,support,0.35,1.42,9.8895,-0.44,5.29,False,5.99,15.29,False,-0.79,15.29,False
2026-05-28,14:30 BST,ANL,RESISTANCE_WARNING,8.47,,,11.0,,,,,,,,,,,,11.035,4.0,resistance,0.32,1.32,9.6774,8.55,14.0,False,5.27,18.95,False,,18.95,False
2026-05-29,14:30 BST,ANL,RESISTANCE_WARNING,8.85,,,11.3,,,,,,,,,,,,11.31,4.0,resistance,0.09,1.34,9.9666,6.46,15.8,False,-0.35,15.8,False,,15.8,False
2026-06-02,14:30 BST,ANL,RESISTANCE_WARNING,4.35,,,12.03,,,,,,,,,,,,12.375,4.0,resistance,2.79,1.34,10.9133,-6.4,-2.04,True,,-2.04,True,,-2.04,True
2026-06-03,14:30 BST,ANL,SUPPORT_BOUNCE,8.78,,,11.58,,,,,,,,,,,,11.565,4.0,support,0.13,1.33,10.1219,,,False,,,False,,,False
2026-04-17,14:30 BST,ANRO,SUPPORT_BOUNCE,7.78,,,26.06,,,,,,,,,,,,25.87,4.0,support,0.73,1.92,23.6796,4.87,5.87,False,4.22,9.14,False,-5.91,9.14,False
2026-04-22,14:30 BST,ANRO,RESISTANCE_WARNING,7.5,,,25.59,,,,,,,,,,,,25.8225,4.0,resistance,0.9,1.94,23.6569,0.47,8.91,False,-5.16,8.91,False,-5.04,8.91,True
2026-04-24,14:30 BST,ANRO,RESISTANCE_WARNING,7.22,,,25.71,,,,,,,,,,,,25.987,4.0,resistance,1.07,1.91,23.9947,-5.6,-0.19,True,-5.48,-0.19,True,-2.99,0.54,True
2026-04-28,14:30 BST,ANRO,SUPPORT_BOUNCE,6.38,,,24.27,,,,,,,,,,,,23.895,4.0,support,1.57,1.93,21.6326,0.12,0.49,False,2.76,6.51,False,4.86,10.33,False
2026-04-29,14:30 BST,ANRO,RESISTANCE_WARNING,6.02,,,24.47,,,,,,,,,,,,24.915,4.0,resistance,1.79,1.95,22.7976,4.86,5.64,False,2.94,6.25,False,0.08,9.43,False
2026-04-30,14:30 BST,ANRO,SUPPORT_BOUNCE,7.16,,,24.3,,,,,,,,,,,,24.035,4.0,support,1.1,1.89,21.9776,2.63,5.97,False,4.73,10.2,False,-0.95,10.2,False
2026-05-04,14:30 BST,ANRO,SUPPORT_BOUNCE,4.77,,,24.94,,,,,,,,,,,,24.3225,4.0,support,2.54,1.85,22.2994,2.04,7.37,False,-3.49,7.37,False,-1.64,7.37,False
2026-04-16,14:30 BST,ANEB,SUPPORT_BOUNCE,4.73,,,0.5,,,,,,,,,,,,0.4875,4.0,support,2.56,0.1,0.3797,-12.0,-12.0,False,4.0,4.0,False,-12.2,4.0,False
2026-04-21,14:30 BST,ANEB,SUPPORT_BOUNCE,4.73,,,0.5,,,,,,,,,,,,0.4875,4.0,support,2.56,0.09,0.393,-12.8,-12.8,False,-4.0,4.0,False,-3.4,4.0,False
2026-04-23,14:30 BST,ANEB,RESISTANCE_WARNING,9.0,,,0.436,,,,,,,,,,,,0.436,4.0,resistance,0.0,0.08,0.3547,10.09,10.09,False,10.78,10.78,False,0.92,11.24,False
2026-04-27,14:30 BST,ANEB,RESISTANCE_WARNING,6.44,,,0.48,,,,,,,,,,,,0.4875,4.0,resistance,1.54,0.06,0.4266,0.63,0.63,False,-8.33,1.04,True,-4.17,5.0,True
2026-04-30,14:30 BST,ANEB,SUPPORT_BOUNCE,8.8,,,0.426,,,,,,,,,,,,0.4255,4.0,support,0.12,0.04,0.3791,7.98,7.98,False,7.98,20.42,False,8.69,28.17,False
2026-06-02,14:30 BST,ANEB,SUPPORT_BOUNCE,7.24,,,0.43,,,,,,,,,,,,0.4255,4.0,support,1.06,0.05,0.3722,-12.79,2.33,False,,2.33,False,,2.33,False
2026-04-24,14:30 BST,ANET,SUPPORT_BOUNCE,4.04,,,172.55,,,,,,,,,,,,167.56,4.0,support,2.98,6.24,159.0441,-0.05,2.44,False,-2.24,2.44,False,0.09,2.68,False
2026-04-28,14:30 BST,ANET,SUPPORT_BOUNCE,4.77,,,172.47,,,,,,,,,,,,168.205,4.0,support,2.54,6.61,160.6126,-2.2,-2.17,False,0.13,2.73,False,-1.3,3.84,False
2026-04-29,14:30 BST,ANET,SUPPORT_BOUNCE,5.23,,,165.29,,,,,,,,,,,,161.63,4.0,support,2.26,6.44,154.0269,4.49,5.02,False,4.43,8.36,False,-11.03,8.36,True
2026-04-30,14:30 BST,ANET,RESISTANCE_WARNING,7.45,,,168.68,,,,,,,,,,,,170.26,4.0,resistance,0.93,6.46,162.2705,2.38,5.04,False,0.91,6.18,False,-15.97,6.18,True
2026-05-01,14:30 BST,ANET,RESISTANCE_WARNING,8.19,,,172.71,,,,,,,,,,,,173.55,4.0,resistance,0.48,6.59,164.5462,-0.05,3.7,False,-14.85,3.7,True,-17.91,3.7,True
2026-05-04,14:30 BST,ANET,RESISTANCE_WARNING,8.18,,,172.7,,,,,,,,,,,,173.55,4.0,resistance,0.49,6.44,165.5608,-1.44,2.62,False,-17.92,2.62,True,-21.0,2.62,True
2026-05-27,14:30 BST,ANET,RESISTANCE_WARNING,6.17,,,158.01,,,,,,,,,,,,160.74,4.0,resistance,1.7,8.45,151.6904,-1.73,-1.03,True,8.02,9.06,True,10.35,12.32,True
2026-05-29,14:30 BST,ANET,RESISTANCE_WARNING,4.96,,,155.27,,,,,,,,,,,,159.125,4.0,resistance,2.42,6.37,150.0118,9.92,10.99,False,12.3,14.3,False,,14.3,False
