scan_time,ticker,price,pct_from_open,rvol,accelerating,level_price,level_touches,level_type,dist_pct,atr,mode,score,stop_loss,stop_reason,entry_note,reason,rsi_at_signal
2026-07-01 16:39 BST,TISCY,21.92,,,,21.92,13.0,resistance,0.0,1.69,RESISTANCE_WARNING,9.0,19.8641,Touches: 13 · Level low: $21.55 · ATR(14): $1.69 · Stop: $19.8641,Near resistance $21.92 · consider exit or avoid entry,13 touches at $21.92 · 0.0% away · ATR $1.69,
2026-07-01 16:39 BST,TINLY,9.35,,,,9.35,38.0,resistance,0.0,0.0,RESISTANCE_WARNING,9.0,9.35,Touches: 38 · Level low: $9.35 · ATR(14): $0.0 · Stop: $9.35,Near resistance $9.35 · consider exit or avoid entry,38 touches at $9.35 · 0.0% away · ATR $0.0,
2026-07-01 16:39 BST,TIKK,1.3,,,,1.3,67.0,resistance,0.0,0.0,RESISTANCE_WARNING,9.0,1.3,Touches: 67 · Level low: $1.3 · ATR(14): $0.0 · Stop: $1.3,Near resistance $1.3 · consider exit or avoid entry,67 touches at $1.3 · 0.0% away · ATR $0.0,
2026-07-01 16:39 BST,THUPY,10.41,,,,10.41,11.0,resistance,0.0,0.2,RESISTANCE_WARNING,9.0,10.086,Touches: 11 · Level low: $10.2845 · ATR(14): $0.2 · Stop: $10.086,Near resistance $10.41 · consider exit or avoid entry,11 touches at $10.41 · 0.0% away · ATR $0.2,
2026-07-01 16:39 BST,THMO,0.0001,,,,0.0001,246.0,resistance,0.0,0.0,RESISTANCE_WARNING,9.0,0.0001,Touches: 246 · Level low: $0.0001 · ATR(14): $0.0 · Stop: $0.0001,Near resistance $0.0001 · consider exit or avoid entry,246 touches at $0.0001 · 0.0% away · ATR $0.0,
2026-07-01 16:39 BST,THDDY,20.6,,,,20.6,138.0,resistance,0.0,0.0,RESISTANCE_WARNING,9.0,20.6,Touches: 138 · Level low: $20.6 · ATR(14): $0.0 · Stop: $20.6,Near resistance $20.6 · consider exit or avoid entry,138 touches at $20.6 · 0.0% away · ATR $0.0,
2026-07-01 16:39 BST,TGOSY,37.32,,,,37.32,246.0,resistance,0.0,0.0,RESISTANCE_WARNING,9.0,37.32,Touches: 246 · Level low: $37.32 · ATR(14): $0.0 · Stop: $37.32,Near resistance $37.32 · consider exit or avoid entry,246 touches at $37.32 · 0.0% away · ATR $0.0,
2026-07-01 16:40 BST,UNM,91.38,,,,91.38,17.0,resistance,0.0,1.77,RESISTANCE_WARNING,9.0,88.2764,Touches: 17 · Level low: $90.05 · ATR(14): $1.77 · Stop: $88.2764,Near resistance $91.38 · consider exit or avoid entry,17 touches at $91.38 · 0.0% away · ATR $1.77,
2026-07-01 16:40 BST,UNIR,0.0003,,,,0.0003,246.0,resistance,0.0,0.0,RESISTANCE_WARNING,9.0,0.0003,Touches: 246 · Level low: $0.0003 · ATR(14): $0.0 · Stop: $0.0003,Near resistance $0.0003 · consider exit or avoid entry,246 touches at $0.0003 · 0.0% away · ATR $0.0,
2026-07-01 16:38 BST,LGIQ,0.001,,,,0.001,241.0,resistance,0.0,0.0,RESISTANCE_WARNING,9.0,0.001,Touches: 241 · Level low: $0.001 · ATR(14): $0.0 · Stop: $0.001,Near resistance $0.001 · consider exit or avoid entry,241 touches at $0.001 · 0.0% away · ATR $0.0,
2026-07-01 16:38 BST,JTEKY,30.95,,,,30.95,126.0,resistance,0.0,0.0,RESISTANCE_WARNING,9.0,30.95,Touches: 126 · Level low: $30.95 · ATR(14): $0.0 · Stop: $30.95,Near resistance $30.95 · consider exit or avoid entry,126 touches at $30.95 · 0.0% away · ATR $0.0,
2026-07-01 16:38 BST,JTTRY,13.96,,,,13.96,10.0,resistance,0.0,0.17,RESISTANCE_WARNING,9.0,13.7879,Touches: 10 · Level low: $13.96 · ATR(14): $0.17 · Stop: $13.7879,Near resistance $13.96 · consider exit or avoid entry,10 touches at $13.96 · 0.0% away · ATR $0.17,
2026-07-01 16:38 BST,JUMSY,25.55,,,,25.55,27.0,resistance,0.0,0.65,RESISTANCE_WARNING,9.0,24.6225,Touches: 27 · Level low: $25.27 · ATR(14): $0.65 · Stop: $24.6225,Near resistance $25.55 · consider exit or avoid entry,27 touches at $25.55 · 0.0% away · ATR $0.65,
2026-07-01 16:38 BST,TCRX,1.0399,,,,1.04,32.0,resistance,0.01,0.09,RESISTANCE_WARNING,8.98,0.9388,Touches: 32 · Level low: $1.025 · ATR(14): $0.09 · Stop: $0.9388,Near resistance $1.04 · consider exit or avoid entry,32 touches at $1.04 · 0.0% away · ATR $0.09,
2026-07-01 16:39 BST,TOMZ,0.8299,,,,0.83,5.0,resistance,0.01,0.09,RESISTANCE_WARNING,8.98,0.7359,Touches: 5 · Level low: $0.83 · ATR(14): $0.09 · Stop: $0.7359,Near resistance $0.83 · consider exit or avoid entry,5 touches at $0.83 · 0.0% away · ATR $0.09,
2026-07-01 16:40 BST,TYIDY,127.95,,,,127.97,104.0,resistance,0.02,3.29,RESISTANCE_WARNING,8.97,121.9314,Touches: 104 · Level low: $125.22 · ATR(14): $3.29 · Stop: $121.9314,Near resistance $127.97 · consider exit or avoid entry,104 touches at $127.97 · 0.0% away · ATR $3.29,
2026-07-01 16:39 BST,TRC,18.895,,,,18.89,45.0,support,0.03,0.49,SUPPORT_BOUNCE,8.96,18.0871,Touches: 45 · Level low: $18.58 · ATR(14): $0.49 · Stop: $18.0871,Near support $18.89 · enter on bounce candle · can hold multi-day,45 touches at $18.89 · 0.0% away · ATR $0.49,
2026-07-01 16:39 BST,TROX,6.625,,,,6.6233,13.0,support,0.03,0.5,SUPPORT_BOUNCE,8.96,6.0275,Touches: 13 · Level low: $6.5246 · ATR(14): $0.5 · Stop: $6.0275,Near support $6.6233 · enter on bounce candle · can hold multi-day,13 touches at $6.6233 · 0.0% away · ATR $0.5,
2026-07-01 16:39 BST,TSLA,430.6,,,,430.73,35.0,resistance,0.03,17.32,RESISTANCE_WARNING,8.95,407.0486,Touches: 35 · Level low: $424.37 · ATR(14): $17.32 · Stop: $407.0486,Near resistance $430.73 · consider exit or avoid entry,35 touches at $430.73 · 0.0% away · ATR $17.32,
